# RUN INFO: year,month,day,hour,min,sec,nSamples,startGate,nGates
# 2020,12,30,06,39,04,10000,100,300
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
# ,HCR,1602.23,40.038,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
# DUAL CHANNEL MODE:
#   Start gate: 100
#   N gates: 300
#   N samples: 10000
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_20:59:49.986778021  9864.3   88.39  295.95  -55.574    0.143  179.479  -49.097    0.143  179.479  -55.574  -49.097  -68.746  -69.581     22.2193     20.3073
2020/11/19_20:59:51.000538111  9864.3   88.40  295.95  -55.573    0.144  179.374  -49.082    0.144  179.374  -55.573  -49.082  -68.781  -69.391      22.301     20.1739
2020/11/19_20:59:52.014297962  9864.3   88.39  295.94  -55.577    0.143  179.565  -49.093    0.143  179.565  -55.577  -49.093  -68.787  -69.868     22.2401     20.2199
2020/11/19_20:59:53.028058052  9864.3   88.40  295.95  -55.581    0.143 -179.945  -49.089    0.143 -179.945  -55.581  -49.089  -68.773  -69.914      22.106     20.2038
2020/11/19_20:59:54.041817904  9864.3   88.40  295.95  -55.575    0.143  179.405  -49.094    0.143  179.405  -55.575  -49.094  -68.739  -69.796     22.1981     20.4122
2020/11/19_20:59:55.055577993  9864.3   88.40  295.97  -55.572    0.144  179.982  -49.093    0.144  179.982  -55.572  -49.093  -68.663  -69.547     22.2634     20.5559
2020/11/19_20:59:56.069338083  9864.3   88.40  295.97  -55.568    0.143  179.796  -49.097    0.143  179.796  -55.568  -49.097  -68.681  -69.621       22.35     20.7925
2020/11/19_20:59:57.083097935  9864.3   88.40  295.97  -55.569    0.142  179.827  -49.093    0.142  179.827  -55.569  -49.093  -68.721  -69.436     22.0682     20.5097
2020/11/19_20:59:58.096858025  9864.3   88.40  295.97  -55.580    0.143  179.995  -49.092    0.143  179.995  -55.580  -49.092  -68.689  -69.682     22.1664     20.4531
2020/11/19_20:59:59.110618114  9864.3   88.40  295.96  -55.582    0.144  179.653  -49.092    0.144  179.653  -55.582  -49.092  -68.683  -69.319     22.3069     20.2859
2020/11/19_21:00:00.124377966  9864.3   88.40  295.96  -55.579    0.144  179.651  -49.091    0.144  179.651  -55.579  -49.091  -68.807  -69.581     22.3626     20.2047
2020/11/19_21:00:01.138138056  9864.3   88.40  295.96  -55.587    0.143  179.901  -49.093    0.143  179.901  -55.587  -49.093  -68.884  -69.579      22.348     20.2304
2020/11/19_21:00:02.151897907  9864.3   88.39  295.94  -55.581    0.144  179.644  -49.088    0.144  179.644  -55.581  -49.088  -68.646  -69.671     22.1725     20.1386
2020/11/19_21:00:03.165657997  9864.3   88.39  295.93  -55.582    0.145  179.558  -49.090    0.145  179.558  -55.582  -49.090  -68.731  -69.344     22.0666     20.2709
2020/11/19_21:00:04.179418087  9864.3   88.39  295.93  -55.583    0.143  179.884  -49.092    0.143  179.884  -55.583  -49.092  -68.645  -69.611     22.0619     20.3238
2020/11/19_21:00:05.193177938  9864.3   88.40  295.93  -55.573    0.143  179.583  -49.096    0.143  179.583  -55.573  -49.096  -68.650  -69.657     21.9881     20.3564
2020/11/19_21:00:06.206938028  9864.3   88.42  294.27  -55.575    0.143  179.705  -49.091    0.143  179.705  -55.575  -49.091  -68.684  -69.582     22.1356     20.3996
2020/11/19_21:00:07.220698118  9864.3   88.40  295.92  -55.581    0.143 -179.731  -49.092    0.143 -179.731  -55.581  -49.092  -68.741  -69.476     22.4366     20.5655
2020/11/19_21:00:08.234457970  9864.3   88.40  295.91  -55.581    0.143  179.798  -49.092    0.143  179.798  -55.581  -49.092  -68.699  -70.044     22.8527     20.7058
2020/11/19_21:00:09.248218060  9864.3   88.40  295.91  -55.571    0.144  179.758  -49.084    0.144  179.758  -55.571  -49.084  -68.701  -69.656      23.116     20.7011
2020/11/19_21:00:10.261977911  9864.3   88.40  295.91  -55.576    0.143  179.492  -49.085    0.143  179.492  -55.576  -49.085  -68.724  -69.473     22.9494     20.6031
2020/11/19_21:00:11.275738001  9864.3   88.40  295.90  -55.575    0.143 -179.935  -49.081    0.143 -179.935  -55.575  -49.081  -68.805  -69.575     22.4484     20.5345
2020/11/19_21:00:12.289498091  9864.3   88.40  295.89  -55.576    0.143  179.882  -49.090    0.143  179.882  -55.576  -49.090  -68.719  -69.808     22.0825     20.5458
2020/11/19_21:00:13.303257942  9864.3   88.39  295.89  -55.571    0.144  179.682  -49.089    0.144  179.682  -55.571  -49.089  -68.583  -69.465     21.8546     20.3893
2020/11/19_21:00:14.317018032  9864.3   88.39  295.89  -55.580    0.143  179.735  -49.084    0.143  179.735  -55.580  -49.084  -68.682  -69.778     21.9953     20.3825
